Status,Endereço,Bairro_Cidade,Quartos,Area,Garagem,Construtora,Bairro_Cidade ,Bairro,Valor_m2,Num_Dorms,Num_Dorms_Suites,Entrega,Dados,Título,Metragem,Vagas
Em construção,,,,,,Patriani,São Bernardo do Campo - Jardim do Mar ,,"124, 151",,None 3 suítes,em Março / 26,"124, 151m² e opção duplex3 suítes3 vagasEntrega em Março / 26",,,
Em construção,,,,,,Patriani,São Bernardo do Campo - Jardim do Mar,,85 e 110,,None 3 suítes,em Março / 26,85 e 110m²2 ou 3 suítes2 vagasEntrega em Março / 26,,,
Em construção,,,,,,Patriani,São José dos Campos - VL Ema,,152,,None 3 suítes,em Julho / 25,152m²3 suítes mais lavabo3 vagas determinadasEntrega em Julho / 25,,,
BREVE LANÇAMENTO,,Bairro Jardim - Santo AndréSalas comerciais,43 a 270m²,,,Paddan,,,,,,,,EM BREVE,,
BREVE LANÇAMENTO,,Centro - São Bernardo,50 a 72m² | varias opções de plantas,,,Paddan,,,,,,,,LANDMARK,,
PRONTO PARA MORAR,,"Av. Industrial, 547 - Bairro JardimSanto André - São Paulo","55m² | 2 dorms. | Rooftop de lazer completo
120 unidades | 1 vaga",,,Paddan,,,,,,,,UP LIFE JARDIM,,
BREVE LANÇAMENTO,,Vila Pires - Santo André,53m² | 2 dorms. | 160 Unidades,,,Paddan,,,,,,,,EM BREVE,,
OBRAS INICIADAS,,Casa Branca - Santo André,"Aptos de 83, 70 e 68 m² | Lazer completo",,,Paddan,,,,,,,,SOPHISTIC,,
OBRAS ACELERADAS,,"R. Marechal Badoglio, 290 - Vila Mussolini - São Bernardo do Campo/SP",48 a 58m² | 1 Vaga | 2 Dormitórios | Lazer Completo | 336 unidades,,,Paddan,,,,,,,,URBAN LIFE,,
PRONTO PARA MORAR,,"R. Otávio Marques, 304 - Vila AssunçãoSanto André - São Paulo","49 e 54m² | 2 dorms.
Lazer completo | 1 vaga",,,Paddan,,,,,,,,BUONA VITA,,
PRONTO PARA MORAR,,"Av. Guaianazes, 416 - Vila Homero ThonSanto André - SPR.","1 Torre | 52 m² | 2 dormitórios
| Sala 2 ambientes | Varanda | 1 vaga |",,,Paddan,,,,,,,,BELLA VITA,,
PRONTO PARA MORAR,,"Rua General Canavarro, 388 - Bairro CampestreSanto André - SP","1 Torre | 88,6m² | 3 dorms. 1 suíte |
2 varandas | 2 vagas |",,,Paddan,,,,,,,,VARANDAS DO CAMPESTRE,,
PRONTO PARA MORAR,,"R. Cristóvão Colombo, 600 - Vila AméricaSanto André - São Paulo","66, 84 e 91m² | 2 e 3 dorms. | Varanda Gourmet
Conceito Clube: lazer completo | 1 ou 2 vagas",,,Paddan,,,,,,,,CLUB VIEW,,
PRONTO PARA MORAR,,"Av. Guaianazes, 654 - Vila Homero ThonSanto André - SP","1 Torre | 50m², 53m² e 55m² | 2 dormitórios | Sala 2 ambientes | 1 vaga | Varanda",,,Paddan,,,,,,,,DOLCE VITA,,
PRONTO PARA MORAR,,Bairro Jardim - Santo André,2 e 3 dorms c/ suite| 2 vagas,,,Paddan,,,,,,,,ED. BELLAGIO,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
,,,,,,Paddan,,,,,,,,,,
Pronto,,,1 vaga ou,,,MZM,Santo André,,,,,,,,33 a 554m,['24 horas ']
Pronto,,,1 vaga por,,,MZM,Santo André,,,,,,,,37 a 530m,['24 horas ']
Pronto,,,3 e 4 dorms,,,MZM,Santo André,,,,,,,,69 a 120 m,['1 ou 2 ']
Pronto,,,2 e 3 dorms,,,MZM,Mauá,,,,,,,,53 e 59 m,['1 vaga ']
Pronto,,,2 e 3 dorms,,,MZM,Diadema,,,,,,,,54 e 67 m,['1 vaga ']
Pronto,,,2 e 3 dorms,,,MZM,Guarulhos,,,,,,,,53 e 59 m,['1 vaga ']
Pronto,,,2 e 3 dorms,,,MZM,Mauá,,,,,,,,54 e 60 m,['1 vaga ']
Pronto,,,2 e 3 dorms,,,MZM,Santo André,,,,,,,,52 e 65m,"['1 su', '1 ou 2 vagas']"
Pronto,,,2 e 3 dorms,,,MZM,Diadema,,,,,,,,46 e 56m,['1 vaga']
Pronto,,,2 e 3 dorms,,,MZM,Mauá,,,,,,,,54 e 60 m,['1 vaga ']
Pronto,,,2 e 3 dorms,,,MZM,Santo André,,,,,,,,49 e 59m,['1 vaga ']
Pronto,,,64 e 85m,,,MZM,São Caetano do Sul,,,,,,,,63,"['2 e 3 dorms', '1 su', '2 vagas']"
Pronto,,,1 e 2 dorms,,,MZM,Piracicaba,,,,,,,,51 e 66 m,['1 e 2 vagas']
Pronto,,,3 dorms,,,MZM,São Caetano do Sul,,,,,,,,79 m,"['1 su', '2 vagas']"
Pronto,,,1 vaga ,,,MZM,São Caetano do Sul,,,,,,,,36 a 46m,None
Pronto,,,2 dorms,,,MZM,São Caetano do Sul,,,,,,,,64 e 65m,"['1 su', '2 vagas']"
Pronto,,,1 vaga ,,,MZM,São Caetano do Sul,,,,,,,,42m,None
Pronto,,,2 dorms,,,MZM,São Bernardo do Campo,,,,,,,,53 a 95m,['1 ou 2 vagas']
Pronto,,,1 vaga ou,,,MZM,São Caetano do Sul,,,,,,,,46 a 804m,['24 horas ']
Lançamento,,,2 dorms,,,MZM,Santo André,,,,,,,,47m,['1 vaga ']
